1576,108,1,1960
231,294,1,1991
2022,320,1,1974
1893,921,1,1982
1949,148,2,1974
3201,280,1,1996
2423,567,1,1975
1779,705,2,1991
4224,865,1,1984
697,740,1,1970
1246,181,1,1992
431,280,1,1989
1269,559,1,1958
775,764,1,1971
496,1206,1,1977
1518,163,1,1985
1938,351,1,1973
2099,368,1,1987
3029,465,1,1959
2663,130,1,1983
2648,707,1,1990
527,362,2,1984
1094,778,1,1969
3741,255,1,1984
29,166,1,1995
2423,946,1,1975
1392,401,1,1961
1884,150,2,1974
1281,826,1,1985
3,778,1,1985
2528,619,2,1991
385,602,1,1968
2668,759,1,1980
151,478,1,1974
622,470,1,1984
1922,868,1,1982
2828,901,2,1984
817,480,1,1989
823,512,2,1990
2076,249,1,1985
1032,346,1,1990
3808,289,1,1986
1308,1401,1,1985
2459,115,1,1989
2963,130,1,1986
3316,466,1,1980
1938,130,1,1983
252,131,1,1984
775,302,1,1973
2000,225,1,1988
2438,250,1,1969
2990,288,1,1988
583,274,1,1983
2154,304,1,1979
1960,1064,1,1989
1359,320,1,1996
2449,416,1,1974
1094,1089,1,1969
2660,350,1,1988
2284,364,1,1992
3526,1015,2,1987
2887,295,1,1984
2972,587,1,1989
2958,1058,1,1987
1818,917,2,1970
2036,149,2,1989
2474,1032,1,1972
1703,147,2,1982
1590,811,1,1964
3567,495,1,1989
603,1155,2,1988
209,378,1,1966
2969,564,2,1990
2423,491,1,1975
392,678,2,1987
187,671,1,1989
151,209,1,1974
1142,1759,1,1958
147,389,1,1966
4410,279,1,1991
1239,497,2,1988
2791,259,1,1985
484,1251,1,1982
2134,206,1,1973
2975,418,1,1969
225,254,1,1964
1392,288,1,1961
2036,164,2,1989
1884,571,1,1980
1053,808,1,1988
2528,1014,1,1981
1713,451,1,1974
2958,809,1,1987
3526,850,2,1987
3387,397,1,1985
1684,495,2,1988
865,939,2,1992
2270,542,1,1992
483,546,1,1992
1108,381,1,1990
527,721,1,1985
1486,270,2,1984
1299,431,1,1991
752,528,1,1988
2878,483,1,1991
234,198,1,1992
2723,326,1,1991
3155,239,1,1989
942,202,1,1983
2887,647,1,1980
2468,481,1,1980
1954,934,1,1992
1858,361,1,1988
4728,1082,1,1991
1122,944,1,1983
4659,1061,1,1989
3708,436,1,1988
2266,755,1,1990
1642,632,1,1984
1694,166,1,1978
371,206,1,1980
2246,247,1,1981
837,493,1,1981
101,1375,1,1990
234,276,1,1988
1610,664,1,1991
597,334,1,1983
955,310,2,1986
2474,216,1,1985
2232,370,1,1986
1546,666,1,1975
2423,428,2,1990
178,159,1,1986
2663,1145,2,1978
775,542,1,1981
1053,1248,1,1988
3140,882,2,1992
603,337,2,1987
4796,172,2,1992
59,363,1,1958
2000,785,1,1984
744,652,1,1974
2012,387,1,1994
4678,207,1,1987
1122,185,1,1983
838,380,1,1987
1674,412,1,1991
3278,476,1,1987
234,399,1,1987
1765,421,2,1987
3900,371,1,1990
360,365,1,1990
1611,180,1,1993
2635,508,1,1993
2282,366,1,1991
1693,288,1,1988
3629,309,2,1982
2128,790,1,1988
348,560,2,1978
494,557,1,1985
565,2221,2,1971
939,451,1,1990
2015,664,1,1993
751,688,1,1988
1655,572,1,1980
2246,417,2,1987
1717,405,1,1970
2011,134,1,1992
2113,802,2,1992
955,290,1,1989
2250,1410,1,1991
131,203,1,1986
2723,239,1,1991
1546,523,1,1975
2284,229,1,1988
784,576,1,1991
2480,389,1,1993
2560,819,1,1989
4020,317,1,1992
159,1132,1,1971
2785,423,1,1991
1278,542,1,1971
2433,741,1,1992
2113,208,1,1984
4280,142,1,1988
837,403,1,1981
1711,268,1,1984
424,1673,2,1988
772,1687,1,1988
806,293,2,1981
1436,213,2,1989
506,547,1,1983
631,1293,1,1964
3097,1574,1,1970
38,449,2,1979
2030,255,1,1990
1681,742,1,1941
641,589,1,1982
2115,574,1,1989
1707,817,1,1984
2994,918,1,1992
869,434,1,1988
1954,450,1,1992
3548,457,1,1992
494,1200,1,1985
1693,392,1,1988
4494,152,1,1990
4343,351,1,1966
4205,699,1,1990
3925,1178,1,1993
2614,728,2,1949
931,714,1,1968
2357,358,1,1977
1089,430,1,1980
2250,395,1,1973
494,276,1,1985
1279,698,1,1984
532,271,1,1970
1850,1173,2,1991
1756,303,1,1990
854,432,1,1986
519,883,1,1972
2041,981,1,1988
2407,1177,1,1956
1884,314,1,1980
580,821,1,1987
2961,230,1,1952
2025,1308,2,1988
955,291,1,1989
385,1100,2,1981
1088,750,1,1984
394,978,1,1986
603,304,2,1987
360,994,1,1990
3140,584,1,1986
2948,194,2,1993
2134,508,1,1986
2972,408,2,1987
1552,202,1,1984
926,415,1,1986
4678,596,1,1983
3596,628,1,1985
1245,777,1,1996
1679,609,2,1990
364,1585,1,1988
1369,548,1,1988
234,753,1,1987
838,782,1,1987
2582,294,1,1991
394,400,1,1986
1089,269,1,1989
1686,503,1,1983
1359,1839,1,1984
3900,470,1,1990
3633,358,1,1984
496,902,1,1977
4640,1342,1,1979
2423,664,2,1990
3596,711,1,1985
1406,397,1,1966
1140,168,1,1995
1955,756,1,1982
2724,623,1,1967
3708,523,1,1988
2871,178,1,1965
1433,664,1,1984
873,199,2,1981
1847,570,1,1974
3565,700,1,1989
2491,249,1,1982
926,301,1,1974
2688,699,2,1992
3638,656,1,1991
2030,605,1,1983
147,184,2,1989
2257,137,1,1965
244,495,2,1978
1806,279,1,1978
2776,554,1,1981
4085,541,1,1986
4377,185,1,1977
931,1337,1,1970
2961,504,1,1952
2085,744,1,1988
1869,578,1,1986
1129,483,1,1987
4177,1089,2,1983
1847,302,1,1974
488,915,2,1987
1955,676,1,1982
394,1248,1,1986
837,578,1,1988
2108,308,1,1992
974,485,1,1993
2093,547,1,1984
512,238,1,1988
987,555,1,1980
159,234,2,1983
1390,1297,1,1987
1281,556,1,1985
9,341,1,1979
3,583,1,1985
1754,330,1,1992
3029,621,1,1990
2041,613,1,1970
131,183,1,1986
205,409,1,1980
3387,307,1,1965
1570,392,2,1985
884,2323,1,1989
1281,192,1,1985
2776,281,1,1981
1245,429,2,1990
4640,1481,1,1979
823,443,1,1989
2858,437,1,1971
3385,172,2,1983
1955,696,1,1982
643,212,2,1991
1750,512,1,1989
3043,300,1,1984
2343,1219,1,1952
2798,258,1,1977
1128,627,2,1976
391,241,1,1969
1396,160,1,1978
2249,168,1,1984
4343,288,1,1966
1427,386,1,1987
2972,1361,1,1987
2789,197,1,1986
2294,619,1,1975
392,1505,2,1988
1264,1494,1,1988
226,902,1,1962
1806,656,1,1978
9,492,1,1995
1279,292,1,1969
4666,1174,1,1977
243,598,1,1992
606,214,1,1990
741,76,1,1986
1377,1047,2,1982
206,5428,2,1968
2791,925,1,1991
979,913,1,1993
544,288,1,1993
4566,343,1,1989
421,333,1,1980
4289,500,1,1963
1870,469,1,1989
1351,663,2,1978
4168,254,1,1989
319,1005,2,1983
2785,578,2,1985
726,601,1,1979
1862,463,1,1992
2851,374,1,1986
582,157,2,1952
1866,380,1,1972
2767,362,1,1989
1387,8067,1,1961
2548,1328,1,1986
1298,168,1,1978
2688,298,2,1991
4033,192,2,1964
552,1139,1,1982
4566,66,1,1986
1129,440,1,1987
4710,247,1,1981
1711,470,2,1984
772,97,1,1992
1019,585,1,1988
1844,1344,1,1973
1955,1265,1,1982
1496,658,2,1972
392,972,2,1988
1264,971,1,1988
2789,542,1,1989
1133,554,2,1991
1433,335,1,1987
4430,753,1,1959
3481,311,1,1984
1037,211,2,1987
3152,330,1,1987
531,331,1,1992
2022,872,1,1965
873,993,1,1984
3892,631,1,1970
865,1155,2,1992
822,364,1,1981
3311,528,1,1949
1792,982,1,1984
527,1134,1,1985
2270,309,2,1952
1844,478,1,1973
1071,263,1,1979
392,446,2,1988
765,662,1,1989
1002,915,1,1984
1726,827,1,1953
1369,982,1,1985
606,213,2,1978
4101,522,2,1968
1133,613,1,1990
774,591,1,1965
2213,931,1,1971
364,153,2,1991
583,329,2,1991
3900,395,1,1988
3032,427,1,1988
3925,423,1,1971
4659,518,1,1990
1240,191,1,1990
2260,195,1,1983
1102,874,1,1986
2291,698,1,1985
551,433,1,1985
4144,167,2,1989
3279,565,1,1977
1056,336,1,1986
2961,642,1,1952
2489,1560,1,1984
1417,357,1,1987
624,418,2,1982
151,198,1,1974
1460,378,1,1974
619,415,2,1962
2139,159,1,1991
764,352,1,1980
1240,378,1,1993
1240,62,1,1993
2485,256,1,1987
238,1188,2,1989
1629,717,1,1984
2926,777,2,1981
2360,1197,1,1990
1634,388,1,1977
837,556,1,1988
2785,583,1,1964
2433,257,1,1962
1306,580,1,1982
3739,604,1,1964
1866,463,1,1972
2139,145,1,1991
2008,1615,2,1990
1089,1162,1,1969
3564,561,1,1983
1354,1629,1,1988
367,285,1,1957
1844,1325,1,1973
841,226,1,1951
1128,507,2,1976
4101,635,1,1990
2986,117,1,1992
2706,364,2,1991
995,493,1,1988
2034,709,1,1982
869,1175,1,1992
600,175,1,1989
2660,247,1,1984
782,275,1,1992
2433,315,1,1975
4375,310,2,1985
421,318,1,1980
1433,252,1,1984
726,835,1,1979
4179,1183,2,1987
639,603,1,1949
442,425,1,1996
